sgg_cd,apt_seq,exclu_use_ar,area_status,kapt_code,kapt_area,households,group_id,group_label,group_areas,apt_nm
11470,11470-4045,119.523,면적 매칭,A15805111,119.523,64,119.369,120,119.369|119.523,하이페리온2
11470,11470-4045,133.363,면적 매칭,A15805111,133.363,60,133.363,133,133.363,하이페리온2
11470,11470-4045,136.081,면적 매칭,A15805111,136.081,76,136.081,136,136.081|136.082,하이페리온2
11470,11470-4045,136.082,면적 매칭,A15805111,136.082,76,136.081,136,136.081|136.082,하이페리온2
11470,11470-4045,155.586,면적 매칭,A15805111,155.586,220,155.586,156,155.586,하이페리온2
11470,11470-4045,191.088,면적 매칭,A15805111,191.088,2,190.951,191,190.951|191.088,하이페리온2
11470,11470-4045,209.338,면적 매칭,A15805111,209.338,2,208.511,209,208.511|209.33|209.338,하이페리온2
11470,11470-4046,83.09,K-apt 면적정보 없음,,,,83.09,83,83.09,목동보미리즌빌
11470,11470-4046,84.54,K-apt 면적정보 없음,,,,84.54,85,84.54|84.65,목동보미리즌빌
11470,11470-4046,84.65,K-apt 면적정보 없음,,,,84.54,85,84.54|84.65,목동보미리즌빌
11470,11470-4052,64.53,K-apt 면적정보 없음,,,,64.53,65,64.53,동원
11470,11470-4063,51.57,K-apt 면적정보 없음,,,,51.57,52,51.57,이연에버리치
11470,11470-4063,84.88,K-apt 면적정보 없음,,,,84.88,85,84.88|84.93,이연에버리치
11470,11470-4063,84.93,K-apt 면적정보 없음,,,,84.88,85,84.88|84.93,이연에버리치
11470,11470-4065,83.79,K-apt 면적정보 없음,,,,83.79,84,83.79,디아이빌102동
11470,11470-4071,84.805,K-apt 면적정보 없음,,,,84.805,85,84.805|84.979,정은스카이빌2차
11470,11470-4071,84.979,K-apt 면적정보 없음,,,,84.805,85,84.805|84.979,정은스카이빌2차
11470,11470-41,84.44,면적 매칭,A15880204,84.44,210,84.44,84,84.44|84.63,우성
11470,11470-41,84.63,면적 매칭,A15880204,84.63,122,84.44,84,84.44|84.63,우성
11470,11470-4115,62.48,K-apt 면적정보 없음,,,,62.48,62,62.48,주함헤븐106동
