sgg_cd,apt_seq,apt_nm,road_key,fail_reason
11140,11140-76,토토타워(5차),동호로11바길 22,K-apt 마스터에 없음
11140,11140-8,별장,퇴계로12길 88,K-apt 마스터에 없음
11140,11140-80,신신(2차),동호로11자길 22,K-apt 마스터에 없음
11140,11140-82,신신(1차),동호로11자길 23,K-apt 마스터에 없음
11140,11140-83,명경아트빌,동호로11마길 46,K-apt 마스터에 없음
11140,11140-84,다다아파트,동호로11마길 40,K-apt 마스터에 없음
11140,11140-88,도현블랑빌,동호로17길 256-35,K-apt 마스터에 없음
11140,11140-9,삼풍,소공로3길 29-8,K-apt 마스터에 없음
11140,11140-90,삼성홈타운,다산로42가길 43,K-apt 마스터에 없음
11140,11140-989,남산정은스카이,다산로 56,K-apt 마스터에 없음
11140,11140-994,(432-2001),동호로11바길 30-8,K-apt 마스터에 없음
11140,11140-998,삼성파크빌,을지로 221,K-apt 마스터에 없음
11170,11170-1,신후암,후암로28길 10,K-apt 마스터에 없음
11170,11170-11,원효,원효로 166,K-apt 마스터에 없음
11170,11170-112,한남하우스,한남대로28가길 5,K-apt 마스터에 없음
11170,11170-114,한성1,독서당로 73-4,K-apt 마스터에 없음
11170,11170-116,현대안성타워,이태원로 217,K-apt 마스터에 없음
11170,11170-119,효성빌리지,유엔빌리지3길 2,K-apt 마스터에 없음
11170,11170-12,금성아파트,원효로 129,K-apt 마스터에 없음
11170,11170-120,현대하이페리온,서빙고로 413,K-apt 마스터에 없음
11170,11170-128,힐하우스,장문로9길 60,K-apt 마스터에 없음
11170,11170-130,그린파크(코오롱하늘채),서빙고로51길 64,K-apt 마스터에 없음
11170,11170-137,한강빌라,보광로7길 55,K-apt 마스터에 없음
11170,11170-140,미주B,이촌로62길 9,K-apt 마스터에 없음
11170,11170-141,이촌코오롱(B),이촌로89길 32,K-apt 마스터에 없음
11170,11170-142,행남그랜드,후암로16가길 4,K-apt 마스터에 없음
11170,11170-143,남산애지앙,후암로34길 31-17,K-apt 마스터에 없음
11170,11170-144,울트라멤버스,임정로 9,K-apt 마스터에 없음
11170,11170-147,뉴캐슬하우스,대사관로7길 8,K-apt 마스터에 없음
11170,11170-148,힐탑트레져1동,유엔빌리지길 200-16,K-apt 마스터에 없음
11170,11170-149,쌍용스윗닷홈,한강대로10길 14,K-apt 마스터에 없음
11170,11170-15,풍전,원효로25길 14,K-apt 마스터에 없음
11170,11170-151,한울글로리A,효창원로76길 7,K-apt 마스터에 없음
11170,11170-152,퍼시픽맨션골드,녹사평대로42길 27,K-apt 마스터에 없음
11170,11170-159,베르체,효창원로72길 29,K-apt 마스터에 없음
11170,11170-16,SK청암대(64-1),삼개로 58,K-apt 마스터에 없음
11170,11170-160,화이트타운,효창원로70길 26,K-apt 마스터에 없음
11170,11170-166,아이딜,청파로71길 58,K-apt 마스터에 없음
11170,11170-167,목화,청파로47나길 45-37,K-apt 마스터에 없음
11170,11170-169,원효전자상가,청파로 83,K-apt 마스터에 없음
11170,11170-17,SK청암대(64-29),삼개로 56,K-apt 마스터에 없음
11170,11170-170,삼성하이츠,효창원로25다길 17-3,K-apt 마스터에 없음
11170,11170-171,대호드림빌(38-213),효창원로37마길 12,K-apt 마스터에 없음
11170,11170-172,대성2차,효창원로25나길 21,K-apt 마스터에 없음
11170,11170-174,한강대우트럼프월드3,한강대로 26,K-apt 마스터에 없음
11170,11170-176,마운틴뷰,녹사평대로46길 84,K-apt 마스터에 없음
11170,11170-178,이태원(이테크빌),이태원로20길 31,K-apt 마스터에 없음
11170,11170-183,형우베스트빌3차,독서당로 90,K-apt 마스터에 없음
11170,11170-186,아일랜드캐슬,대사관로7길 5,K-apt 마스터에 없음
11170,11170-188,장미1,우사단로10길 39-96,K-apt 마스터에 없음
11170,11170-19,효창로즈,효창원로93길 16,K-apt 마스터에 없음
11170,11170-191,지오베르크,백범로 346,K-apt 마스터에 없음
11170,11170-198,세인트힐,효창원로72길 42,K-apt 마스터에 없음
11170,11170-2,뉴후암,후암로 71,K-apt 마스터에 없음
11170,11170-200,태성1,대사관로24길 8,K-apt 마스터에 없음
11170,11170-202,한강로대우아이빌,한강대로43길 13,K-apt 마스터에 없음
11170,11170-203,삼라마이다스빌2,백범로90라길 28,K-apt 마스터에 없음
11170,11170-204,제일,후암로48길 16,K-apt 마스터에 없음
11170,11170-205,브라운스톤남산,후암로 65,K-apt 마스터에 없음
11170,11170-206,현대플라티앙2,장문로9길 65,K-apt 마스터에 없음
11170,11170-207,현대플래티앙Ⅰ,장문로 47,K-apt 마스터에 없음
11170,11170-2099,PRIMAVERAVILL,서빙고로91가길 29-7,K-apt 마스터에 없음
11170,11170-22,효창맨션,효창원로 157,K-apt 마스터에 없음
11170,11170-228,장미(203-14),이촌로18길 3-7,K-apt 마스터에 없음
11170,11170-23,효창한신,백범로45길 9-11,K-apt 마스터에 없음
11170,11170-2304,이안용산1차(102동),백범로90길 74,K-apt 마스터에 없음
11170,11170-2305,이안용산1차(101동),백범로90길 74,K-apt 마스터에 없음
11170,11170-2306,이안용산1차(103동),백범로90길 74,K-apt 마스터에 없음
11170,11170-2310,동원베네스트,이촌로14길 7,K-apt 마스터에 없음
11170,11170-2327,세양청마루,백범로 250,K-apt 마스터에 없음
11170,11170-2338,이안용산3차,청파로 205-26,K-apt 마스터에 없음
11170,11170-2343,로얄카운티-2,백범로79다길 27,K-apt 마스터에 없음
11170,11170-2346,대성이태리하우스,한남대로27길 42,K-apt 마스터에 없음
11170,11170-2348,한강자이에클라트,이촌로 1,K-apt 마스터에 없음
11170,11170-2377,명남아띠팰리스,후암로16나길 20,K-apt 마스터에 없음
11170,11170-24,효창베네스,효창원로69길 57,K-apt 마스터에 없음
11170,11170-2438,용산아이피아대주피오레,청파로20길 9,K-apt 마스터에 없음
11170,11170-2457,용산파크e-편한세상,한강대로53길 16,K-apt 마스터에 없음
11170,11170-2552,로얄카운티-3,백범로79다길 35,K-apt 마스터에 없음
11170,11170-2562,태원팰리스,효창원로70길 49,K-apt 마스터에 없음
11170,11170-257,삼안리치10차,한강대로104라길 21,K-apt 마스터에 없음
11170,11170-258,신주에지앙,후암로28마길 2,K-apt 마스터에 없음
11170,11170-26,도원,새창로12길 11-15,K-apt 마스터에 없음
11170,11170-260,한강수,효창원로8길 16,K-apt 마스터에 없음
11170,11170-262,임선웰빙아파트,효창원로66길 33,K-apt 마스터에 없음
11170,11170-2627,준아트빌,이태원로27나길 40,K-apt 마스터에 없음
11170,11170-2671,한강동부,이촌로58길 16,K-apt 마스터에 없음
11170,11170-2683,두산위브트레지움,이촌로 177,K-apt 마스터에 없음
11170,11170-2719,트윈빌에이동,유엔빌리지길 11,K-apt 마스터에 없음
11170,11170-2720,트윈빌비동,유엔빌리지길 289,K-apt 마스터에 없음
11170,11170-273,삼안리치8차,한강대로102다길 26,K-apt 마스터에 없음
11170,11170-2735,보람더하임,이촌로58길 19,K-apt 마스터에 없음
11170,11170-275,힐튼빌리지1차,후암로22길 29,K-apt 마스터에 없음
11170,11170-276,화인,후암로16길 27,K-apt 마스터에 없음
11170,11170-2765,한남동동원베네스트,독서당로 22,K-apt 마스터에 없음
11170,11170-2767,용산파크타워(24-1),서빙고로 69,K-apt 마스터에 없음
11170,11170-277,두리파크빌,한강대로102나길 23,K-apt 마스터에 없음
11170,11170-279,효창팰리스2차,효창원로70길 10,K-apt 마스터에 없음
11170,11170-28,제일1,새창로12길 11-7,K-apt 마스터에 없음
11170,11170-280,효창아트빌2차,효창원로69길 31,K-apt 마스터에 없음
11170,11170-281,예빌리지,백범로45길 9-10,K-apt 마스터에 없음
11170,11170-282,메이(124-12),이태원로27나길 36,K-apt 마스터에 없음
11170,11170-283,ThePlusⅢ,이태원로27길 62-34,K-apt 마스터에 없음
11170,11170-284,창덕아파트,회나무로21길 7,K-apt 마스터에 없음
11170,11170-285,유엔맨숀,독서당로 108,K-apt 마스터에 없음
11170,11170-2864,한남파라곤,한남대로27길 52,K-apt 마스터에 없음
11170,11170-2865,시티하우스,한강대로14길 37,K-apt 마스터에 없음
11170,11170-287,오페라하우스3차,대사관로 23,K-apt 마스터에 없음
11170,11170-2889,아인하우스,효창원로70길 19,K-apt 마스터에 없음
11170,11170-29,삼각아파트,한강대로62길 32,K-apt 마스터에 없음
11170,11170-2906,프라임펠리스,백범로90길 38,K-apt 마스터에 없음
11170,11170-291,리버힐에이동,서빙고로75가길 31,K-apt 마스터에 없음
11170,11170-2913,용산큐브,백범로90길 12,K-apt 마스터에 없음
11170,11170-292,라이온즈,장문로 24,K-apt 마스터에 없음
11170,11170-294,대림아르빌,대사관로11길 21,K-apt 마스터에 없음
11170,11170-295,아이딜,백범로51길 23,K-apt 마스터에 없음
11170,11170-3,후암맨션,후암로44길 8,K-apt 마스터에 없음
11170,11170-3048,래미안첼리투스,이촌로 310,K-apt 마스터에 없음
11170,11170-3092,한남해피트리,한남대로27길 60,K-apt 마스터에 없음
11170,11170-31,전자타운한신(A),청파로 113-11,K-apt 마스터에 없음
11170,11170-3174,용산파크뷰(46-3),원효로 251,K-apt 마스터에 없음
11170,11170-3183,G&P용산파크,청파로 201-17,K-apt 마스터에 없음
11170,11170-32,철우,서빙고로 48,K-apt 마스터에 없음
11170,11170-3200,월드메르디앙,이촌로62길 14,K-apt 마스터에 없음
11170,11170-3222,르가든더메인한남,한남대로10길 16,K-apt 마스터에 없음
11170,11170-3232,삼각아파트C동,한강대로62길 26,K-apt 마스터에 없음
11170,11170-3278,파르크한남,유엔빌리지길 80-36,K-apt 마스터에 없음
11170,11170-33,강변,이촌로 104,K-apt 마스터에 없음
11170,11170-3311,G&D용산드림,이촌로2가길 9,K-apt 마스터에 없음
11170,11170-3331,센트럴파크,한강대로62길 45-25,K-apt 마스터에 없음
11170,11170-3342,시온캐슬용산,원효로81길 3,K-apt 마스터에 없음
11170,11170-34,강서,이촌로34길 10,K-apt 마스터에 없음
11170,11170-3413,용산데시앙포레,효창원로93길 9,K-apt 마스터에 없음
11170,11170-3423,용산소미글로벌리버파크,원효로 111,K-apt 마스터에 없음
11170,11170-35,강촌,이촌로87길 14,K-apt 마스터에 없음
11170,11170-3533,아페르한강,녹사평대로11길 14,K-apt 마스터에 없음
11170,11170-37,노들,이촌로64길 20,K-apt 마스터에 없음
11170,11170-4178,호반써밋A.DITION,한강대로 66,K-apt 마스터에 없음
11170,11170-43,로얄맨숀,이촌로75길 6,K-apt 마스터에 없음
11170,11170-44,리버뷰,이촌로 224,K-apt 마스터에 없음
11170,11170-48,빌라맨션,이촌로 156,K-apt 마스터에 없음
11170,11170-49,삼익,이촌로 260,K-apt 마스터에 없음
11170,11170-5,예빌리지,후암로22길 7,K-apt 마스터에 없음
11170,11170-51,이촌시범,이촌로 34,K-apt 마스터에 없음
